LocationID,Borough,Zone,service_zone,latitude,longitude
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
48,Manhattan,Clinton East,Yellow Zone,40.76807,-73.98274
166,Manhattan,Morningside Heights,Boro Zone,40.73978,-73.99042
263,Manhattan,Yorkville West,Yellow Zone,40.74836,-73.98818
4,Manhattan,Alphabet City,Yellow Zone,40.72375,-73.98142
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
142,Manhattan,Lincoln Square East,Yellow Zone,40.76766,-73.97184
239,Manhattan,Upper West Side South,Yellow Zone,40.7579,-73.97825
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
75,Manhattan,East Harlem South,Boro Zone,40.81174,-73.95223
48,Manhattan,Clinton East,Yellow Zone,40.76807,-73.98274
163,Manhattan,Midtown North,Yellow Zone,40.76597,-73.97321
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.74029,-73.99401
161,Manhattan,Midtown Center,Yellow Zone,40.75704,-73.97827
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
161,Manhattan,Midtown Center,Yellow Zone,40.75704,-73.97827
132,Queens,JFK Airport,Airports,40.7741,-73.9806
161,Manhattan,Midtown Center,Yellow Zone,40.75704,-73.97827
100,Manhattan,Garment District,Yellow Zone,40.75114,-73.99224
249,Manhattan,West Village,Yellow Zone,40.74748,-73.98622
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
239,Manhattan,Upper West Side South,Yellow Zone,40.7579,-73.97825
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.73356,-73.98593
247,Bronx,West Concourse,Boro Zone,40.67638,-73.97539
161,Manhattan,Midtown Center,Yellow Zone,40.75704,-73.97827
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
137,Manhattan,Kips Bay,Yellow Zone,40.77123,-73.98754
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
114,Manhattan,Greenwich Village South,Yellow Zone,40.76452,-73.97801
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
141,Manhattan,Lenox Hill West,Yellow Zone,40.77693,-73.96224
164,Manhattan,Midtown South,Yellow Zone,40.76102,-73.96832
262,Manhattan,Yorkville East,Yellow Zone,40.75333,-73.98227
263,Manhattan,Yorkville West,Yellow Zone,40.74836,-73.98818
75,Manhattan,East Harlem South,Boro Zone,40.81174,-73.95223
234,Manhattan,Union Sq,Yellow Zone,40.74976,-73.99138
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.79229,-73.95993
140,Manhattan,Lenox Hill East,Yellow Zone,40.77112,-73.95758
100,Manhattan,Garment District,Yellow Zone,40.75114,-73.99224
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
138,Queens,LaGuardia Airport,Airports,40.71803,-73.84345
211,Manhattan,SoHo,Yellow Zone,40.72193,-74.00016
161,Manhattan,Midtown Center,Yellow Zone,40.75704,-73.97827
132,Queens,JFK Airport,Airports,40.7741,-73.9806
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.75201,-73.99321
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.78234,-73.95379
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
125,Manhattan,Hudson Sq,Yellow Zone,40.74897,-73.99893
79,Manhattan,East Village,Yellow Zone,40.72648,-73.98059
48,Manhattan,Clinton East,Yellow Zone,40.76807,-73.98274
48,Manhattan,Clinton East,Yellow Zone,40.76807,-73.98274
113,Manhattan,Greenwich Village North,Yellow Zone,40.75916,-73.96924
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
211,Manhattan,SoHo,Yellow Zone,40.72193,-74.00016
239,Manhattan,Upper West Side South,Yellow Zone,40.7579,-73.97825
137,Manhattan,Kips Bay,Yellow Zone,40.77123,-73.98754
164,Manhattan,Midtown South,Yellow Zone,40.76102,-73.96832
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.73356,-73.98593
142,Manhattan,Lincoln Square East,Yellow Zone,40.76766,-73.97184
100,Manhattan,Garment District,Yellow Zone,40.75114,-73.99224
249,Manhattan,West Village,Yellow Zone,40.74748,-73.98622
161,Manhattan,Midtown Center,Yellow Zone,40.75704,-73.97827
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.77103,-73.90591
132,Queens,JFK Airport,Airports,40.7741,-73.9806
262,Manhattan,Yorkville East,Yellow Zone,40.75333,-73.98227
249,Manhattan,West Village,Yellow Zone,40.74748,-73.98622
138,Queens,LaGuardia Airport,Airports,40.71803,-73.84345
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.79229,-73.95993
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.76001,-73.98802
41,Manhattan,Central Harlem,Boro Zone,40.57591,-74.13909
132,Queens,JFK Airport,Airports,40.7741,-73.9806
137,Manhattan,Kips Bay,Yellow Zone,40.77123,-73.98754
236,Manhattan,Upper East Side North,Yellow Zone,40.77598,-73.95368
138,Queens,LaGuardia Airport,Airports,40.71803,-73.84345
239,Manhattan,Upper West Side South,Yellow Zone,40.7579,-73.97825
239,Manhattan,Upper West Side South,Yellow Zone,40.7579,-73.97825
237,Manhattan,Upper East Side South,Yellow Zone,40.77182,-73.96623
142,Manhattan,Lincoln Square East,Yellow Zone,40.76766,-73.97184
114,Manhattan,Greenwich Village South,Yellow Zone,40.76452,-73.97801
148,Manhattan,Lower East Side,Yellow Zone,40.75549,-73.97641
113,Manhattan,Greenwich Village North,Yellow Zone,40.75916,-73.96924
138,Queens,LaGuardia Airport,Airports,40.71803,-73.84345
